root_id,class
720575940599457990,optic_lobe_intrinsic
720575940599763910,optic_lobe_intrinsic
720575940600623020,optic_lobe_intrinsic
720575940602309600,AN
720575940602564320,Kenyon_Cell
720575940602720940,mechanosensory
720575940602747360,CX
720575940602790610,optic_lobe_intrinsic
720575940602815200,Kenyon_Cell
720575940602857440,optic_lobe_intrinsic
720575940603094700,CX
720575940603183840,mechanosensory
720575940603449010,visual
720575940603460640,AN
720575940603479910,AN
720575940603545190,AN
720575940603600230,AN
720575940603673120,Kenyon_Cell
720575940603747360,CX
720575940603765280,pars_intercerebralis
720575940603882720,Kenyon_Cell
720575940603911340,olfactory
720575940603925280,CX
720575940604008160,ALLN
720575940604050110,Kenyon_Cell
720575940604065470,CX
720575940604241510,unknown_sensory
720575940604479590,DAN
720575940604662700,ALLN
720575940604663520,LHLN
720575940604675430,olfactory
720575940604704870,olfactory
720575940604728800,DAN
720575940604901310,mechanosensory
720575940604934980,visual
720575940604984800,visual
720575940605078560,ALLN
720575940605160550,visual
720575940605179360,visual
720575940605213100,mechanosensory
720575940605219500,mechanosensory
720575940605328230,olfactory
720575940605579110,olfactory
720575940605682790,unknown_sensory
720575940605891040,DAN
720575940606385440,ALLN
720575940606739390,bilateral
720575940607155890,MBON
720575940607511900,DAN
720575940607641010,brain_motor_neuron
720575940607685700,ALLN
720575940607687260,ALPN
720575940608304220,MBON
720575940608883780,mAL
720575940609369180,gustatory
720575940609533230,gustatory
720575940609579470,TuBu
720575940609716430,TuBu
720575940610118570,LHCENT
720575940610259370,gustatory
720575940610292430,ALPN
720575940610474610,gustatory
720575940610481370,gustatory
720575940610505170,ALPN
720575940610762850,LHLN
720575940610792290,brain_motor_neuron
720575940611323670,ALPN
720575940611703080,ALPN
720575940611789810,DAN
720575940612071130,LHLN
720575940612196850,MBON
720575940612499150,bilateral
720575940612635050,ALIN
720575940612923390,pars_intercerebralis
720575940613090710,TuBu
720575940613091290,bilateral
720575940613684370,unknown_sensory
720575940614386070,brain_motor_neuron
720575940614478230,LHLN
720575940614636450,LHLN
720575940615097490,ocellar
720575940615500030,brain_motor_neuron
720575940615596850,brain_motor_neuron
720575940615622050,bilateral
720575940615911380,pars_intercerebralis
720575940615974550,optic_lobes
720575940616404820,mAL
720575940616747830,mAL
720575940617088780,bilateral
720575940617552340,MBON
720575940617665950,hygrosensory
720575940618220480,unknown_sensory
720575940619186240,pars_lateralis
720575940619614110,optic_lobes
720575940619695750,mAL
720575940620528990,unknown_sensory
720575940620614310,TuBu
720575940620926740,pars_lateralis
720575940621164720,MBON
720575940621202670,ocellar
720575940622283900,TuBu
720575940622872870,pars_intercerebralis
720575940622917500,ocellar
720575940622972820,thermosensory
720575940623081400,pars_intercerebralis
720575940624746940,mAL
720575940626003130,LHCENT
720575940627271230,hygrosensory
720575940628912390,ocellar
720575940629007230,thermosensory
720575940634781620,hygrosensory
720575940635452570,TPN
720575940636489140,LHCENT
720575940640031360,LHCENT
720575940642666440,pars_lateralis
720575940643812000,LHCENT
720575940648669060,ALIN
720575940609125641,ocellar
720575940609269001,ALON
720575940612898161,ALIN
720575940613106611,optic_lobes
720575940613191591,thermosensory
720575940613258221,ALON
720575940613583001,MBIN
720575940613942301,hygrosensory
720575940614921501,hygrosensory
720575940620332141,pars_lateralis
720575940621939071,ALIN
720575940623793741,thermosensory
720575940625054901,pars_lateralis
720575940629091431,ALON
720575940629523971,optic_lobes
720575940632913461,thermosensory
720575940634773951,ALON
720575940635709631,optic_lobes
720575940660914561,ALON
720575940621014292,ALIN
720575940624547622,MBIN
720575940632879842,TPN
720575940625934094,MBIN
720575940620975696,MBIN
