partition,seed,epoch,ce_loss,sc_loss,val_acc,val_f1,elapsed_s
part_0,0,1,76.1233,6.4183,0.0356,0.0119,3.9
part_0,0,50,2.9973,6.4177,0.0408,0.0124,22.1
part_0,0,100,2.9944,6.4148,0.0048,0.0089,40.5
part_0,0,150,2.9949,6.4087,0.0048,0.0089,59.0
part_0,0,200,2.9884,6.3965,0.0178,0.0149,77.6
part_0,0,250,2.2296,6.3737,0.2681,0.1981,96.2
part_0,0,300,2.156,6.3543,0.3262,0.2244,114.5
part_0,1,1,123.4895,6.424,0.1258,0.022,0.4
part_0,1,50,2.9999,6.4215,0.1158,0.0104,18.5
part_0,1,100,2.9971,6.4183,0.1163,0.0164,37.0
part_0,1,150,2.9768,6.4098,0.2347,0.0541,55.5
part_0,1,200,2.9154,6.3929,0.2547,0.0578,73.9
part_0,1,250,2.4227,6.3646,0.2811,0.1079,92.3
part_0,1,300,2.2561,6.3351,0.2646,0.1516,110.7
